eta,cent,yieldCorr,yieldRaw,yieldBS,bkg1,bkg2,bkg3,stat,syst1,syst2,syst3,syst4,syst5,syst6,syst7,syst8,syst9,systCorr,systUncorr
0.1-0.35,0-5,147,83,75.2,5,1,1,11,1.4,0.07,0.5,1.1,2.2,2,2.5,3,0.9,5.17,9.25
0.1-0.35,5-10,126,75,68.2,4,1,1,11.5,2.4,0.18,0.5,3.3,4.1,2,2.5,3,0.9,6.93,9.6
0.1-0.35,10-15,87,50,44.1,4,0.9,0.8,14.1,4.5,0.25,0.5,4.1,3.5,2,2.5,3,0.9,7.02,11.1
0.1-0.35,15-20,70.5,43,39.2,2,0.8,0.6,15.2,3.1,0.2,0.5,5.4,1.6,2,2.5,3,0.9,7.24,9.25
0.1-0.35,20-40,192,129,119,7,1,2,8.8,2.6,0.11,0.5,2.9,3.9,2,2.5,3,0.9,6.62,5.56
0.1-0.35,40-80,49.8,41,37.3,3,0.4,0.5,15.6,2,0.07,0.5,1.4,13,2,2.5,3,0.9,14.1,4.25
0.35-0.6,0-5,161,99,89.6,7,1,1,10.1,1.4,0.05,0.5,2.9,7.7,2,2.5,3,0.9,9.37,9.32
0.35-0.6,5-10,125,77,69.9,5,1,1,11.4,2.5,0.19,0.5,2,2.4,2,2.5,3,0.9,5.49,9.55
0.35-0.6,10-15,98.6,62,54.7,5,1,0.9,12.7,4.6,0.19,0.5,3,8.7,2,2.5,3,0.9,10.2,11.2
0.35-0.6,15-20,89.7,60,55,3,0.8,0.8,12.9,3.1,0.16,0.5,1.1,9.6,2,2.5,3,0.9,10.7,9.75
0.35-0.6,20-40,160,112,103,6,2,2,9.45,2.7,0.13,0.5,2.1,5.4,2,2.5,3,0.9,7.34,5.35
0.35-0.6,40-80,42,36,32.6,2,0.5,0.4,16.7,2,0.09,0.5,4,3.1,2,2.5,3,0.9,6.74,4.2
0.6-0.8,0-5,89.1,59,53.7,3,2,0.9,13,1,0.04,0.5,3.5,8.5,2,2.5,3,0.9,10.3,7.67
