eta,cent,yieldCorr,yieldRaw,yieldBS,bkg1,bkg2,bkg3,stat,syst1,syst2,syst3,syst4,syst5,syst6,syst7,syst8,syst9,systCorr,systUncorr
0.1-0.35,0-5,184,112,102,7,1,2,9.45,1.4,0.07,0.5,2.5,4.9,2,2.5,3,0.9,7.12,8.79
0.1-0.35,5-10,126,75,68.1,4,1,1,11.5,2.4,0.19,0.5,2.6,4.3,2,2.5,3,0.9,6.77,9.34
0.1-0.35,10-15,111,72,63.8,6,1,1,11.8,4.5,0.22,0.5,3,4.3,2,2.5,3,0.9,6.91,11.6
0.1-0.35,15-20,120,79,72.7,4,0.8,1,11.3,3.1,0.14,0.5,2.1,5.5,2,2.5,3,0.9,7.38,11.1
0.1-0.35,20-40,193,131,121,7,1,2,8.74,2.6,0.11,0.5,0.66,1.5,2,2.5,3,0.9,4.79,5.51
0.1-0.35,40-80,76.4,65,59.3,4,0.4,0.8,12.4,2,0.06,0.5,1.2,6.1,2,2.5,3,0.9,7.64,4.69
0.35-0.6,0-5,134,83,74.8,5,2,1,11,1.4,0.05,0.5,2.6,5.4,2,2.5,3,0.9,7.49,8.38
0.35-0.6,5-10,136,85,77.2,5,1,1,10.8,2.5,0.18,0.5,1.5,3.7,2,2.5,3,0.9,6.03,9.45
0.35-0.6,10-15,102,72,63.7,6,1,1,11.8,4.6,0.18,0.5,7.1,4,2,2.5,3,0.9,9.33,11.5
0.35-0.6,15-20,97.3,65,59.7,4,0.8,0.9,12.4,3.1,0.15,0.5,2,9.1,2,2.5,3,0.9,10.4,11
0.35-0.6,20-40,183,135,124,7,2,2,8.61,2.7,0.12,0.5,1.4,5.6,2,2.5,3,0.9,7.3,5.42
0.35-0.6,40-80,59.7,53,48.2,4,0.5,0.6,13.7,2,0.07,0.5,0.43,7.7,2,2.5,3,0.9,8.92,4.61
0.6-0.8,0-5,152,101,92.9,5,2,1,9.95,1,0.03,0.5,1.2,2.1,2,2.5,3,0.9,5.12,7.68
0.6-0.8,5-10,69.1,47,42.9,2,1,0.7,14.6,1.8,0.25,0.5,4,2.8,2,2.5,3,0.9,6.61,7.79
0.6-0.8,10-15,98.7,68,61.6,4,1,0.9,12.1,3.3,0.18,0.5,2.3,1.7,2,2.5,3,0.9,5.32,10.5
0.6-0.8,15-20,71.1,52,48.3,2,0.8,0.8,13.9,2.3,0.19,0.5,2,2.9,2,2.5,3,0.9,5.74,9.47
0.6-0.8,20-40,153,117,109,5,2,2,9.25,1.9,0.11,0.5,2.5,4.1,2,2.5,3,0.9,6.61,4.85
0.6-0.8,40-80,44.7,41,37.9,2,0.5,0.5,15.6,1.5,0.09,0.5,3.1,9.9,2,2.5,3,0.9,11.4,4.26
0.8-1.05,0-5,158,98,87.8,6,3,1,10.1,1.4,0.07,0.5,2.1,2.5,2,2.5,3,0.9,5.57,7.73
0.8-1.05,5-10,128,84,76,5,2,1,10.9,2.4,0.21,0.5,0.99,3.4,2,2.5,3,0.9,5.73,8.83
0.8-1.05,10-15,104,75,66.2,6,2,1,11.5,4.4,0.2,0.5,1.1,5.4,2,2.5,3,0.9,7.15,11
0.8-1.05,15-20,73.3,53,48.2,3,1,0.7,13.7,3.1,0.22,0.5,1.5,5.7,2,2.5,3,0.9,7.43,9.83
0.8-1.05,20-40,165,132,121,7,2,2,8.7,2.6,0.1,0.5,3.4,6.6,2,2.5,3,0.9,8.72,5.13
0.8-1.05,40-80,64.1,60,54.5,4,0.8,0.7,12.9,2,0.1,0.5,0.25,4.7,2,2.5,3,0.9,6.52,4.48
1.05-1.3,0-5,128,65,56.9,5,2,1,12.4,1.8,0.1,0.5,4.4,9.2,2,2.5,3,0.9,11.2,7.94
1.05-1.3,5-10,102,54,47.4,4,2,0.8,13.6,3,0.36,0.5,1.8,7.8,2,2.5,3,0.9,9.18,8.67
1.05-1.3,10-15,87.2,47,40.1,5,1,0.7,14.6,5.7,0.38,0.5,4.7,8.4,2,2.5,3,0.9,10.7,10.8
1.05-1.3,15-20,67.2,39,34.8,3,1,0.5,16,3.8,0.3,0.5,8.1,7.8,2,2.5,3,0.9,12.1,10.2
1.05-1.3,20-40,154,98,87.9,6,2,1,10.1,3.2,0.17,0.5,1.3,5.4,2,2.5,3,0.9,7.17,5.18
1.05-1.3,40-80,50.8,39,34.5,3,0.8,0.5,16,2.5,0.11,0.5,3.1,4.5,2,2.5,3,0.9,7.1,4.54
1.3-1.55,0-5,142,77,68.9,5,2,1,11.4,1.4,0.12,0.5,1,5.8,2,2.5,3,0.9,7.4,7.61
1.3-1.55,5-10,97.2,57,50.9,3,2,0.9,13.2,2.4,0.35,0.5,1.1,6,2,2.5,3,0.9,7.6,8.05
1.3-1.55,10-15,63.2,41,35.6,3,1,0.6,15.6,4.4,0.36,0.5,7.6,5.9,2,2.5,3,0.9,10.6,9.86
1.3-1.55,15-20,61.2,37,33.3,2,1,0.6,16.4,3,0.39,0.5,3.2,8.4,2,2.5,3,0.9,10,8.93
1.3-1.55,20-40,148,100,90.7,5,3,1,10,2.6,0.22,0.5,3.8,2,2,2.5,3,0.9,6.24,4.7
1.3-1.55,40-80,47,38,34.1,2,0.9,0.5,16.2,2,0.1,0.5,2.8,3.9,2,2.5,3,0.9,6.6,4.33
1.55-1.85,0-5,123,66,60.3,2,3,1,12.3,0.68,0.11,0.5,3.4,9.4,2,2.5,3,0.9,11,5.76
1.55-1.85,5-10,71.3,38,33.8,1,2,0.6,16.2,1.2,0.63,0.5,0.83,20,2,2.5,3,0.9,20.9,5.79
1.55-1.85,10-15,86.2,47,42.6,2,2,0.7,14.6,2.1,0.38,0.5,1.9,4.6,2,2.5,3,0.9,6.73,7.58
1.55-1.85,15-20,53.7,30,27.4,0.8,1,0.5,18.3,1.5,0.5,0.5,3.3,5.2,2,2.5,3,0.9,7.61,6.76
1.55-1.85,20-40,179,109,102,3,3,2,9.58,1.3,0.26,0.5,0.9,4.7,2,2.5,3,0.9,6.59,3.72
1.55-1.85,40-80,38.1,29,26.7,1,1,0.4,18.6,0.96,0.15,0.5,1.6,7.1,2,2.5,3,0.9,8.58,4.4
1.85-2.1,0-5,98.1,43,39.4,0.9,2,0.7,15.2,0.47,0.17,0.5,0.62,4.8,2,2.5,3,0.9,6.64,5.7
1.85-2.1,5-10,47.1,24,21.5,0.5,2,0.4,20.4,0.83,0.66,0.5,6.6,10,2,2.5,3,0.9,12.8,6.12
1.85-2.1,10-15,55.9,28,25.5,0.8,1,0.4,18.9,1.5,0.43,0.5,4.5,7.5,2,2.5,3,0.9,9.84,6.75
1.85-2.1,15-20,48.3,25,23.1,0.5,1,0.4,20,1,0.49,0.5,3.5,5.4,2,2.5,3,0.9,7.87,6.58
1.85-2.1,20-40,118,66,61.8,1,2,1,12.3,0.87,0.26,0.5,0.89,4.6,2,2.5,3,0.9,6.48,3.56
1.85-2.1,40-80,26.5,18,16.7,0.4,0.7,0.3,23.6,0.66,0.17,0.5,2.9,8.1,2,2.5,3,0.9,9.72,4.77
2.1-2.4,0-5,96.6,30,26.9,1,2,0.5,18.3,0.72,0.07,0.5,4.2,6,2,2.5,3,0.9,8.56,6.41
2.1-2.4,5-10,79.9,29,26.4,0.9,1,0.5,18.6,1.2,0.43,0.5,2.6,9.8,2,2.5,3,0.9,11.1,6.51
2.1-2.4,10-15,51.7,22,19.5,0.9,1,0.3,21.3,2.3,0.49,0.5,2,19,2,2.5,3,0.9,19.9,7.42
2.1-2.4,15-20,46,21,19.3,0.6,0.8,0.3,21.8,1.6,0.38,0.5,4.4,6.7,2,2.5,3,0.9,9.2,7.46
2.1-2.4,20-40,114,57,52.9,2,2,0.9,13.2,1.3,0.19,0.5,1.8,8.3,2,2.5,3,0.9,9.63,3.88
2.1-2.4,40-80,30.1,19,17.5,0.7,0.6,0.3,22.9,0.99,0.11,0.5,1.9,7.8,2,2.5,3,0.9,9.22,4.33
